,DEMAGE,DEMSEX,DEMREL,DEMINC,COV_SHIELD,COV_TRUST_1,COV_TRUST_2,COV_TRUST_3,COV_TRUST_4,COV_TRUST_5,COV_TRUST_6,COV_TRUST_7,COV_TRUST_8,COV_TRUST_9,COV_TRUST_10,COV_TRUST_11,COV_TRUST_12,COV_TRUST_13,DEMREG,DEMEDU,DEMWRK,VAC_DEC,COV_VAC_SELF,COV_KNOWL_1,COV_KNOWL_2,COV_KNOWL_3,COV_KNOWL_4,COV_KNOWL_5,COV_KNOWL_6,COV_KNOWL_7,DREAD,ANX_1,ANX_2,ANX_3,ANX_4,ANX_5,ANX_6,target_1,target_2
1,23,Male,Christian,"Under £15,000",No,National television,0,0,0,0,National public health authorities (such as the NHS or Public Health England / Wales),0,0,0,The internet or search engines,0,0,0,Scotland,"5+ GCSE, O-levels, 1 A level, or equivalents",Unemployed,0,1,4.0,4.0,4.0,4.0,3.0,1.0,1.0,4.0,2.0,2.0,2.0,2.0,3.0,3.0,1.0,1
3,65,Female,Christian,"£15,000 to £24,999",No,National television,Satellite / international television channels,0,0,0,National public health authorities (such as the NHS or Public Health England / Wales),0,0,Government websites,0,0,0,0,Yorkshire and The Humber,"5+ GCSE, O-levels, 1 A level, or equivalents",Working full-time,0,3,4.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,3.0,2.0,,0
4,66,Male,Atheist or agnostic,"£25,000 to £34,999",No,National television,Satellite / international television channels,Radio,Newspapers,0,National public health authorities (such as the NHS or Public Health England / Wales),Healthcare workers,International health authorities (such as The World Health Organization),Government websites,0,Family and friends,0,0,West Midlands,Undergraduate or postgraduate degree,Working full-time,0,1,4.0,4.0,4.0,4.0,4.0,1.0,1.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0,1.0,1
5,73,Female,Christian,"£15,000 to £24,999",Yes,National television,0,0,0,0,0,0,0,0,0,0,0,0,Greater London,"5+ GCSE, O-levels, 1 A level, or equivalents",Retired,0,1,4.0,4.0,4.0,4.0,4.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1
8,65,Female,Atheist or agnostic,"Under £15,000",Yes,National television,0,0,0,0,0,0,0,Government websites,0,0,0,0,West Midlands,No academic qualifications,Working full-time,0,4,3.0,4.0,3.0,3.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,0.0,0
9,55,Female,Christian,"£25,000 to £34,999",Yes,National television,0,0,0,0,0,0,0,0,0,0,0,0,Scotland,2+ A levels or equivalents,Looking after the home,0,3,4.0,2.0,3.0,3.0,3.0,2.0,1.0,1.0,3.0,2.0,1.0,2.0,2.0,1.0,,0
10,87,Female,Atheist or agnostic,"Under £15,000",No,0,0,0,0,0,National public health authorities (such as the NHS or Public Health England / Wales),0,International health authorities (such as The World Health Organization),Government websites,0,Family and friends,0,0,Scotland,2+ A levels or equivalents,Retired,0,1,4.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,3.0,2.0,1.0,1
11,37,Male,Atheist or agnostic,"£45,000 to £54,999",No,National television,Satellite / international television channels,Radio,Newspapers,0,National public health authorities (such as the NHS or Public Health England / Wales),Healthcare workers,International health authorities (such as The World Health Organization),0,0,0,0,0,South East,Undergraduate or postgraduate degree,Looking after the home,0,1,4.0,4.0,4.0,4.0,4.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0,1.0,3.0,1.0,1
12,70,Female,Christian,"£35,000 to £44,999",Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,North West,Undergraduate or postgraduate degree,Retired,0,1,4.0,4.0,4.0,4.0,4.0,1.0,1.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1
13,54,Male,Christian,"£65,000 to £99,999",No,National television,0,Radio,0,0,0,Healthcare workers,0,Government websites,0,0,0,0,North West,Undergraduate or postgraduate degree,Working full-time,0,1,4.0,4.0,4.0,4.0,3.0,1.0,1.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,1
14,50,Male,Christian,"£25,000 to £34,999",No,National television,0,0,0,0,0,0,0,0,The internet or search engines,0,0,0,South West,"5+ GCSE, O-levels, 1 A level, or equivalents",Working full-time,0,1,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1
17,68,Female,Christian,"£15,000 to £24,999",No,National television,0,Radio,Newspapers,0,National public health authorities (such as the NHS or Public Health England / Wales),0,International health authorities (such as The World Health Organization),Government websites,0,0,0,0,South West,Other,Retired,0,1,4.0,4.0,4.0,4.0,4.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1
19,73,Male,Christian,"£15,000 to £24,999",Yes,National television,0,Radio,Newspapers,0,0,0,0,0,0,0,0,0,South West,Undergraduate or postgraduate degree,Retired,0,1,4.0,4.0,4.0,4.0,3.0,3.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1
20,78,Male,Christian,"£45,000 to £54,999",Yes,National television,0,Radio,0,0,National public health authorities (such as the NHS or Public Health England / Wales),0,0,Government websites,0,0,0,0,West Midlands,Undergraduate or postgraduate degree,Retired,0,1,4.0,4.0,4.0,4.0,3.0,1.0,1.0,3.0,2.0,2.0,1.0,2.0,2.0,3.0,1.0,1
23,70,Female,Christian,"£25,000 to £34,999",Yes,0,0,0,0,0,National public health authorities (such as the NHS or Public Health England / Wales),0,0,Government websites,0,0,0,0,Scotland,"5+ GCSE, O-levels, 1 A level, or equivalents",Retired,0,1,4.0,4.0,4.0,4.0,3.0,1.0,1.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1
25,75,Female,Christian,"Under £15,000",No,0,0,0,0,0,National public health authorities (such as the NHS or Public Health England / Wales),0,International health authorities (such as The World Health Organization),0,0,0,0,0,North West,"0-4 GCSE, O-levels, or equivalents",Retired,0,1,4.0,4.0,4.0,4.0,4.0,2.0,1.0,3.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1
26,66,Male,Christian,"£35,000 to £44,999",No,National television,0,Radio,Newspapers,0,0,Healthcare workers,International health authorities (such as The World Health Organization),Government websites,0,Family and friends,0,0,North West,"5+ GCSE, O-levels, 1 A level, or equivalents",Retired,0,1,4.0,4.0,4.0,4.0,3.0,1.0,2.0,3.0,2.0,3.0,1.0,1.0,2.0,3.0,1.0,1
29,72,Male,Christian,"£15,000 to £24,999",Yes,0,0,Radio,0,0,National public health authorities (such as the NHS or Public Health England / Wales),0,0,Government websites,0,0,0,0,East Midlands,Apprenticeship,Retired,0,3,3.0,4.0,4.0,4.0,3.0,1.0,1.0,3.0,1.0,3.0,3.0,2.0,2.0,3.0,,0
32,78,Female,Christian,"£15,000 to £24,999",No,National television,0,Radio,0,0,National public health authorities (such as the NHS or Public Health England / Wales),Healthcare workers,0,0,0,0,0,0,North West,"5+ GCSE, O-levels, 1 A level, or equivalents",Retired,0,2,4.0,4.0,3.0,4.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,3.0,1.0,,1
