,COV_DOSE,COV_DOSE_2,COV_KNOWL_1,COV_KNOWL_2,COV_KNOWL_3,COV_KNOWL_4,COV_KNOWL_5,COV_KNOWL_6,COV_KNOWL_7,VAC_PASS_INT,ANX_1,ANX_2,ANX_3,ANX_4,ANX_5,ANX_6,DEMAGE,DREAD,DEMREG,DEMSEX,DEMEDU,DEMWRK,DEMREL,DEMINC,COV_INV,DEMNHS,COV_SHIELD,VAC_DEC,Q71,MIST_1,MIST_2,MIST_3,MIST_4,MIST_5,MIST_6,MIST_7,MIST_8,MIST_9,MIST_10,MIST_11,MIST_12,MIST_13,MIST_14,MIST_15,MIST_16,MIST_17,MIST_18,MIST_19,MIST_20,COV_TRUST_1,COV_TRUST_2,COV_TRUST_3,COV_TRUST_4,COV_TRUST_5,COV_TRUST_6,COV_TRUST_7,COV_TRUST_8,COV_TRUST_9,COV_TRUST_10,COV_TRUST_11,COV_TRUST_12,COV_TRUST_13,intention,VAC_PASS_1,VAC_PASS_2,VAC_PASS_3,VAC_PASS_4,VAC_PASS_5,VAC_PASS_6,VAC_PASS_7,VAC_PASS_UK,intenttarget_1,intenttarget_2,uptaketarget
56,,,4,4,4,4,4,3,1,5.0,3,1,2,3,2,1,21,2,Greater London,Female,Apprenticeship,Working full-time,Atheist or agnostic,"£35,000 to £44,999",No,No,No,0,Green Party,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Real,Fake,Fake,Real,Real,Real,Fake,Fake,Real,Fake,0,0,0,0,0,National public health authorities (such as the NHS or Public Health England / Wales),0,0,0,0,0,0,0,1.0,1,1,5,5,5,5,5,5,1.0,1.0,
57,1,1,3,3,3,4,3,2,1,3.0,3,1,1,3,3,1,65,2,Scotland,Male,Undergraduate or postgraduate degree,Working part-time,Atheist or agnostic,"Under £15,000",Yes,No,No,0,SNP,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Real,Real,Fake,Real,Fake,Real,Real,Real,Real,Real,0,0,0,0,0,National public health authorities (such as the NHS or Public Health England / Wales),0,International health authorities (such as The World Health Organization),Government websites,0,0,0,0,,2,3,3,3,3,4,3,3,,,1.0
58,,,3,3,3,4,3,4,1,3.0,3,1,1,3,2,2,35,2,Scotland,Male,Undergraduate or postgraduate degree,Working full-time,Atheist or agnostic,"£65,000 to £99,999",No,No,No,1,SNP,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Real,Real,Real,Real,Real,Real,Real,Real,Real,Real,National television,Satellite / international television channels,0,0,"Social media (Facebook, Twitter, etc)",National public health authorities (such as the NHS or Public Health England / Wales),0,0,Government websites,The internet or search engines,Family and friends,0,0,1.0,4,2,2,4,4,2,1,3,1.0,1.0,
60,,,4,4,4,4,3,3,1,1.0,2,2,2,2,2,3,19,3,West Midlands,Female,"5+ GCSE, O-levels, 1 A level, or equivalents",Working part-time,Atheist or agnostic,"£15,000 to £24,999",No,No,No,1,Conservative,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Real,Real,0,0,0,0,0,National public health authorities (such as the NHS or Public Health England / Wales),0,0,Government websites,The internet or search engines,0,"Work, school, or college",0,1.0,2,5,2,2,2,2,5,1,1.0,1.0,
62,1,1,4,4,4,4,4,4,4,5.0,3,1,1,3,3,1,66,1,Northern Ireland,Male,No academic qualifications,Working part-time,Christian,"Under £15,000",Yes,No,No,0,Other/Not eligible,Fake,Fake,Real,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Real,Fake,Fake,Fake,Real,National television,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,5,5,5,5,5,5,,,1.0
64,,,4,4,4,4,4,3,1,5.0,2,3,3,1,2,3,19,3,South West,Female,2+ A levels or equivalents,Student,Atheist or agnostic,"Under £15,000",No,No,No,0,Green Party,Real,Real,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Real,Fake,Real,Real,Real,Real,Real,Real,Real,Real,National television,Satellite / international television channels,0,0,0,National public health authorities (such as the NHS or Public Health England / Wales),0,International health authorities (such as The World Health Organization),Government websites,0,0,0,0,1.0,2,1,5,4,3,5,2,5,1.0,1.0,
65,1,1,4,4,4,4,3,3,4,4.0,2,2,1,2,2,1,18,4,Greater London,Female,2+ A levels or equivalents,Working part-time,Muslim,"£45,000 to £54,999",Yes,No,No,1,Labour,Fake,Fake,Real,Real,Fake,Real,Real,Real,Real,Fake,Fake,Real,Fake,Real,Real,Real,Fake,Real,Real,Real,0,0,0,0,0,0,Healthcare workers,0,0,0,0,0,0,,5,5,5,5,5,5,5,5,,,1.0
67,,,4,4,4,4,4,1,1,1.0,2,1,1,2,2,1,24,3,North East,Male,Undergraduate or postgraduate degree,Working full-time,Christian,"£25,000 to £34,999",No,No,No,1,Labour,Real,Fake,Real,Fake,Real,Real,Fake,Fake,Fake,Fake,Real,Real,Real,Real,Real,Fake,Real,Real,Fake,Real,National television,0,0,0,0,0,0,0,0,0,0,0,0,3.0,5,5,1,1,2,1,3,1,,0.0,
70,1,1,3,3,4,4,3,3,3,5.0,2,3,2,2,2,3,48,3,Scotland,Male,Undergraduate or postgraduate degree,Working part-time,Atheist or agnostic,"Under £15,000",Yes,No,No,0,SNP,Real,Fake,Fake,Real,Fake,Fake,Fake,Fake,Fake,Fake,Real,Fake,Real,Fake,Real,Fake,Real,Real,Real,Real,National television,Satellite / international television channels,0,0,0,0,0,0,0,The internet or search engines,0,0,0,,4,3,5,4,3,2,3,3,,,1.0
74,1,1,3,3,3,4,3,2,1,3.0,2,2,1,2,2,2,57,2,Scotland,Male,Undergraduate or postgraduate degree,Retired,Atheist or agnostic,"£35,000 to £44,999",Yes,No,Yes,0,Conservative,Real,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Real,Real,Fake,Real,Fake,Real,Real,National television,0,0,0,0,0,0,0,0,0,0,0,0,,3,3,4,4,4,4,2,3,,,1.0
